0,1,2,3
93.667,134.454047,17.972046,34.192304
93.074,86.302237,4.168373,40.0
28.333,138.880782,2.721256,27.122605
93.013,51.356913,18.061923,47.188993
50.0,1.95173,14.033748,68.333333
28.187,106.456614,0.354636,41.428771
31.095,55.878393,19.711002,50.696989
73.333,189.246031,11.338251,37.278451
93.667,181.288653,11.979483,31.981457
93.667,78.536915,13.341729,63.47095
28.31,4.971047,16.729597,46.806638
93.667,134.287359,18.817631,31.196184
93.667,167.434127,8.423106,13.222719
73.333,194.299928,1.862282,25.17049
93.667,11.386577,16.145213,39.496205
50.0,90.064763,7.303765,68.268108
51.057,116.49406,18.47449,62.226541
93.667,137.327563,8.177913,13.222719
93.553,143.886551,18.220736,32.960275
93.667,130.00815,3.88341,19.327424
73.746,145.38291,2.849437,24.652787
22.455,74.769533,19.357439,69.419681
93.035,116.316417,0.969741,29.251559
93.077,23.223703,15.10784,40.0
74.914,11.530872,16.143004,46.018998
78.196,195.953045,9.617794,17.943211
93.481,56.964745,8.356456,33.697171
72.344,118.99486,21.552464,42.904831
57.849,192.432206,8.777855,36.655909
28.255,37.155653,9.684112,31.615823
82.094,38.607963,3.449774,20.577727
50.0,68.328821,7.172754,66.339246
46.28,186.579579,6.909362,38.470552
50.0,78.133507,19.679015,85.495664
16.432,54.643342,5.434532,32.185656
93.032,30.389416,6.834938,13.263466
78.642,79.421769,8.995116,41.948075
46.825,74.944493,15.57624,85.297977
93.667,26.222941,3.160027,13.222719
50.0,87.008144,19.169085,84.912249
50.0,18.302633,1.82943,40.0
74.165,122.925392,10.158232,36.525665
85.779,2.195818,0.668559,13.89649
93.612,114.652077,16.570412,51.82973
28.238,157.945972,15.400939,67.990734
66.488,47.073355,4.719269,45.11171
73.406,89.603943,14.957903,71.874432
73.631,113.871637,12.260439,49.589482
83.192,12.280288,18.714936,30.977739
93.089,99.257777,12.288441,51.822081
29.528,128.463047,19.839021,41.33747
75.056,44.253146,9.229389,34.4895
51.628,167.411289,7.878824,39.334247
18.011,194.215046,10.757725,32.113758
28.333,169.274578,5.631167,27.122605
71.191,101.199891,20.441724,49.903183
93.667,55.775122,10.26865,34.918227
50.0,149.323444,5.588173,40.0
55.283,47.386077,9.486806,50.144025
50.0,191.469056,15.45566,68.333333
93.232,124.052007,8.851257,24.653839
27.687,120.052429,4.000482,38.454967
68.82,34.5209,18.837525,42.80629
79.918,18.069348,12.852427,35.693471
92.369,51.052441,8.218733,30.674276
93.667,171.714106,4.87728,13.222719
73.333,182.213411,4.817871,25.17049
28.331,139.926753,11.489114,41.990883
50.0,145.036471,9.5353,40.0
7.991,45.977216,16.308688,50.358357
91.969,115.210691,1.549892,29.784412
50.0,162.125621,18.641336,55.267187
93.667,80.768674,14.957365,68.308631
28.009,197.687853,3.006333,26.758771
93.667,17.999763,18.884848,30.048193
69.077,64.188207,4.396351,48.559575
6.899,102.281788,13.361478,59.889172
27.969,12.121273,11.94699,40.934288
50.0,145.137585,3.571143,40.0
50.0,111.31115,0.124367,55.439661
50.0,105.87198,16.972673,72.608126
92.309,165.996486,16.825326,37.177427
50.0,171.751807,9.263526,40.0
50.0,157.805785,1.24989,40.0
93.667,63.566611,12.886434,55.577327
34.943,90.441491,3.831415,55.818306
78.976,150.445594,16.029435,41.34952
81.289,21.972341,11.754403,30.744626
74.177,21.948474,5.567414,24.092859
73.333,53.976733,20.175248,42.607589
28.014,104.927469,16.68028,61.873631
50.0,194.530215,19.514676,48.018356
50.0,142.081737,1.51356,40.0
79.185,62.371989,4.03762,36.670451
93.667,58.291426,16.215598,57.538745
28.333,170.071467,15.327727,67.989083
73.333,182.329485,17.093844,43.584188
50.0,127.855229,11.041875,53.286788
50.0,51.07406,9.36093,54.637262
73.363,17.733168,13.447217,45.907548
28.303,167.651118,18.826982,42.988034
84.856,116.943724,14.757536,52.869162
44.3,189.621747,11.519025,49.401727
65.413,12.205786,6.573939,32.481027
50.0,116.928261,15.48732,75.70858
73.335,57.021617,8.395439,40.144849
26.854,165.546435,12.48907,49.011064
73.724,38.197288,19.532941,38.674387
76.983,88.505992,18.544884,55.87093
93.348,78.682301,19.773568,44.24063
50.0,165.314796,20.658068,40.0
24.51,135.374219,17.939573,47.64639
7.434,41.520607,0.029872,23.268835
93.667,63.620945,0.067995,36.768421
28.319,26.762197,1.924314,27.107022
93.625,134.292578,5.736002,14.175797
73.333,114.198215,0.501571,37.221759
93.667,33.953413,9.329866,13.585059
28.105,29.531155,7.503429,26.866534
73.426,95.215944,11.909787,55.664525
28.006,181.620483,20.37572,26.755431
93.667,110.435005,6.566988,31.905775
6.694,6.587979,7.437865,13.245825
92.917,10.772585,18.908562,29.902073
93.667,161.012646,7.490523,13.222719
93.667,90.274971,3.038649,39.884135
27.987,76.529246,11.171577,55.821514
73.892,157.928741,18.846442,36.597067
27.56,72.857374,8.4549,49.378694
93.667,106.469987,15.3052,57.60429
50.0,142.331341,13.813892,66.823875
92.356,174.295304,9.908539,14.083613
