0,1,2,3
93.667,134.454047,17.972046,34.192304
93.074,86.302237,4.168373,40.0
28.333,138.880782,2.721256,27.122605
93.013,51.356913,18.061923,47.188993
50.0,1.95173,14.033748,68.333333
28.187,106.456614,0.354636,41.428771
31.095,55.878393,19.711002,50.696989
73.333,189.246031,11.338251,37.278451
93.667,181.288653,11.979483,31.981457
93.667,78.536915,13.341729,63.47095
28.31,4.971047,16.729597,46.806638
93.667,134.287359,18.817631,31.196184
93.667,167.434127,8.423106,13.222719
73.333,194.299928,1.862282,25.17049
93.667,11.386577,16.145213,39.496205
50.0,90.064763,7.303765,68.268108
51.057,116.49406,18.47449,62.226541
93.667,137.327563,8.177913,13.222719
93.553,143.886551,18.220736,32.960275
93.667,130.00815,3.88341,19.327424
73.746,145.38291,2.849437,24.652787
22.455,74.769533,19.357439,69.419681
93.035,116.316417,0.969741,29.251559
93.077,23.223703,15.10784,40.0
74.914,11.530872,16.143004,46.018998
78.196,195.953045,9.617794,17.943211
93.481,56.964745,8.356456,33.697171
72.344,118.99486,21.552464,42.904831
57.849,192.432206,8.777855,36.655909
28.255,37.155653,9.684112,31.615823
82.094,38.607963,3.449774,20.577727
50.0,68.328821,7.172754,66.339246
46.28,186.579579,6.909362,38.470552
50.0,78.133507,19.679015,85.495664
16.432,54.643342,5.434532,32.185656
93.032,30.389416,6.834938,13.263466
78.642,79.421769,8.995116,41.948075
46.825,74.944493,15.57624,85.297977
93.667,26.222941,3.160027,13.222719
50.0,87.008144,19.169085,84.912249
50.0,18.302633,1.82943,40.0
74.165,122.925392,10.158232,36.525665
85.779,2.195818,0.668559,13.89649
93.612,114.652077,16.570412,51.82973
28.238,157.945972,15.400939,67.990734
66.488,47.073355,4.719269,45.11171
73.406,89.603943,14.957903,71.874432
73.631,113.871637,12.260439,49.589482
83.192,12.280288,18.714936,30.977739
93.089,99.257777,12.288441,51.822081
29.528,128.463047,19.839021,41.33747
75.056,44.253146,9.229389,34.4895
51.628,167.411289,7.878824,39.334247
18.011,194.215046,10.757725,32.113758
28.333,169.274578,5.631167,27.122605
71.191,101.199891,20.441724,49.903183
93.667,55.775122,10.26865,34.918227
50.0,149.323444,5.588173,40.0
