215,46,-21,1,critical
208,45,-19,1,critical
197,38,-14,1,critical
190,35,-14,1,critical
209,45,-7,1,critical
220,47,-9,1,critical
223,48,-15,1,critical
205,43,-10,1,critical
198,39,-2,1,critical
224,48,2,1,critical
196,37,24,1,critical
183,29,19,1,critical
187,33,17,1,critical
191,35,-6,1,critical
194,37,-10,1,critical
195,37,0,1,critical
210,45,0,1,critical
216,46,3,1,critical
204,42,16,1,critical
225,48,24,1,critical
221,47,21,1,critical
199,39,20,1,critical
202,41,27,1,critical
192,35,28,1,critical
184,29,28,1,critical
