190,35,-14,0,critical
191,35,-6,0,critical
208,45,-19,0,critical
223,48,-15,0,critical
195,37,0,0,critical
198,39,-2,0,critical
183,29,19,0,critical
187,33,17,0,critical
196,37,24,0,critical
199,39,20,0,critical
202,41,27,0,critical
192,35,28,0,critical
205,43,-10,0,critical
209,45,-7,0,critical
204,42,16,0,critical
216,46,3,0,critical
224,48,2,0,critical
221,47,21,0,critical
225,48,24,0,critical
194,37,-10,0,critical
197,38,-14,0,critical
215,46,-21,0,critical
220,47,-9,0,critical
184,29,28,0,critical
210,45,0,0,critical
