3,-50,-3,1,critical
28,-45,-7,1,critical
54,-36,-11,1,critical
26,-45,-17,1,critical
111,-11,-38,1,critical
69,-30,-34,1,critical
51,-37,-36,1,critical
37,-41,-30,1,critical
14,-47,-25,1,critical
66,-31,-39,1,critical
49,-37,-46,1,critical
53,-36,-43,1,critical
85,-22,-48,1,critical
99,-15,-41,1,critical
60,-33,-30,1,critical
58,-34,-27,1,critical
50,-37,-40,1,critical
65,-31,-49,1,critical
41,-40,-40,1,critical
13,-47,-46,1,critical
8,-48,-43,1,critical
31,-44,-29,1,critical
70,-30,-29,1,critical
33,-43,-33,1,critical
45,-39,-37,1,critical
40,-40,-44,1,critical
15,-47,-22,1,critical
34,-43,-11,1,critical
27,-45,-10,1,critical
61,-32,-8,1,critical
52,-37,-27,1,critical
32,-44,-26,1,critical
9,-48,-38,1,critical
1,-50,-43,1,critical
2,-50,-40,1,critical
25,-45,-45,1,critical
30,-44,-39,1,critical
55,-35,-46,1,critical
39,-40,-50,1,critical
29,-44,-48,1,critical
76,-26,-50,1,critical
81,-24,-50,1,critical
71,-30,-25,1,critical
10,-48,-20,1,critical
18,-46,-28,1,critical
19,-46,-26,1,critical
42,-40,-27,1,critical
24,-45,-49,1,critical
78,-25,-42,1,critical
68,-30,-42,1,critical
6,-49,-18,1,critical
21,-46,-19,1,critical
20,-46,-20,1,critical
